24,14,13,13,12,10,13,14,12,11,11,13,11,13,10,12,12,12,10,11,10,12,20,32,12,11,12,13,12,13,12,15
15,9,9,9,8,11,15,12,11,11,10,9,8,9,9,8,8,8,9,12,8,11,9,12,8,11,9,11,8,11,8,10
29,9,8,8,9,9,12,13,12,12,12,12,9,8,8,9,11,8,10,8,10,7,7,8,8,8,9,8,8,8,8,8
12,24,8,8,8,7,7,7,7,8,8,7,8,7,11,8,24,7,9,8,10,19,7,7,8,7,7,7,8,7,7,8
14,10,7,7,7,7,7,7,8,10,12,27,10,11,11,10,11,11,7,9,10,9,10,7,7,7,9,8,8,11,8,11
13,9,7,8,7,7,8,11,11,11,12,11,11,10,10,9,10,26,10,10,11,8,10,8,10,8,11,8,11,8,10,9
29,8,8,8,7,7,7,7,11,8,8,8,8,7,7,9,8,8,11,10,7,10,8,11,7,10,10,9,7,8,7,8
13,7,7,7,7,7,7,7,7,10,12,27,11,11,11,11,9,7,9,7,9,8,10,9,10,7,9,11,7,10,8,10
13,7,7,7,7,7,7,7,7,7,8,8,24,8,8,9,7,8,8,8,23,7,8,10,8,11,8,8,7,7,7,9
13,8,7,7,7,7,7,11,12,12,11,11,10,11,7,8,11,7,9,11,7,11,8,10,8,11,8,10,7,9,8,9
12,9,8,8,10,8,11,7,10,8,9,8,9,7,10,10,7,9,11,8,10,9,8,7,7,7,7,8,8,8,7,8
13,25,8,8,7,7,7,8,8,24,9,8,8,8,7,7,8,7,7,8,8,11,8,10,12,7,11,8,11,7,10,82
13,9,8,7,7,8,7,7,9,12,12,12,11,11,11,11,11,8,8,11,7,10,7,11,7,10,7,10,10,7,10,94
13,24,7,7,8,7,7,10,11,11,11,27,11,10,8,12,8,11,8,8,8,8,10,11,8,9,8,7,7,8,8,11
14,8,7,7,7,7,7,7,8,11,12,11,10,11,10,10,10,10,8,11,7,9,11,7,10,7,11,25,8,12,7,10
13,8,8,8,7,7,7,7,8,11,12,28,11,11,10,14,9,10,11,7,10,11,8,8,10,8,8,7,7,8,8,8
13,7,7,7,6,6,6,8,7,8,24,8,7,7,10,10,8,8,7,7,11,8,10,8,11,8,9,9,7,25,8,12
13,9,8,8,7,7,8,7,8,25,9,7,8,8,7,8,7,7,7,7,12,8,10,21,8,10,7,10,7,10,7,11
13,24,8,8,7,8,11,11,12,11,11,11,11,11,7,11,8,10,9,11,7,9,10,7,7,8,10,8,10,7,9,11
12,7,7,7,7,7,7,7,7,10,11,27,12,11,10,10,10,7,8,11,7,9,10,9,9,8,10,7,12,7,10,8
13,8,7,8,7,7,7,7,7,7,9,25,8,7,7,8,10,8,9,9,8,8,7,11,8,9,12,7,10,8,10,8
12,8,7,7,7,7,7,7,7,9,10,27,11,12,11,10,10,10,10,7,10,8,9,7,10,8,11,7,8,12,7,9
13,24,7,8,8,8,7,10,13,12,9,11,11,10,7,9,10,10,8,7,10,11,8,8,7,11,7,11,8,11,7,11
